responder_id,birth_year,gender,industry_desc,occupation_desc,organization_size,manage_others,household,years_at_job,metro_or_regional,Actual Remote Days,org_encouraged_rw,org_prepared_for_rw,rw_is_common_at_org,rw_permission_is_attainable,rw_collaboration_easy,preferred_rw_percentage_2020,preferred_rw_percentage_future,if_no_covid_employer_encourage_rw,if_no_covid_employer_support_rw,if_no_covid_i_would_have_choice_about_rw,productivity_remote_vs_office,inperson_hours__commuting,inperson_hours__working,inperson_hours__personal_family_time,inperson_hours_domestic_responsibilities,remote_hours_commuting,remote_hours_working,remote_hours_personal_family_time,remote_hours_domestic_responsibilities
1797,1990,Female,Other,Other,More than 200,No,Multiple family household,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,4-5 days,4-5 days,Very likely,Very likely,Very likely,less productive,4,7.5,3,1.5,0,7.5,5,1.5
1798,1983,Female,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat likely,Neither unlikely or likely,Neither unlikely or likely,much more productive,2.5,9,2.5,2.5,0,9.5,4.5,2.5
1799,1998,Female,Other Services,Other,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,4-5 days,4-5 days,Very unlikely,Very unlikely,Very unlikely,much less productive,2,9,5,0,2,9,5,0
1800,1980,Male,Financial and Insurance,Managers - Specialist Managers,More than 200,Yes,One parent family with dependent children,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,2-3 days,Somewhat likely,Somewhat likely,Somewhat likely,more productive,1.5,10,3,1,0,11,2,2
1801,1959,Male,Other,"Professionals - Design, Engineering, Science and Transport Professionals",More than 200,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat unlikely,Somewhat likely,Neither unlikely or likely,much more productive,3,10,2,2,0,12,2,2
1802,1962,Female,Financial and Insurance,"Managers - Chief Executives, General Managers and Legislators",I am a sole trader/owner-operator,No,Single person,More than 5 years,Metro,4-5 days,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,2-3 days,Somewhat likely,Somewhat likely,Somewhat likely,more productive,2,9,3,2,0.5,9.5,4,2
1803,1972,Male,Information Media and Telecommunications,Professionals - ICT Professionals,Between 5 and 19,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,same productivity,3,8,2,3,1,9,3,3
1804,1984,Female,Financial and Insurance,Other,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,4-5 days,2-3 days,Somewhat unlikely,Very likely,Neither unlikely or likely,more productive,3,8,4,3.5,0,9,5,4
1805,1959,Male,"Professional, Scientific and Technical","Professionals - Design, Engineering, Science and Transport Professionals",More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,4-5 days,Somewhat unlikely,Neither unlikely or likely,Neither unlikely or likely,more productive,2,7,4,3,0,9,3,4
1806,1992,Male,Other,Other,Between 1 and 4,Yes,One parent family with dependent children,Between 1 and 5 years,Regional,2-3 days,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,3-4 days,2-3 days,Somewhat unlikely,Somewhat likely,Somewhat unlikely,much less productive,2,2,2,8,0.5,6,4,2
1807,1977,Female,Other,Other,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,2-3 days,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly agree,3-4 days,2-3 days,Very unlikely,Very unlikely,Very unlikely,much more productive,2.5,7.5,4,3,0,8,4,4
1808,1981,Male,Other Services,Managers - Specialist Managers,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,much more productive,5,8,2,2,0,10,3,3
1809,1981,Female,Health Care and Social Assistance,Other,More than 200,No,Couple with no dependent children,Between 6 and 12 months,Metro,0-1 days,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,0-1 days,0-1 days,Very unlikely,Very unlikely,Very unlikely,same productivity,2,8,5,1,0,8,6,2
1810,1970,Male,Other,"Professionals - Design, Engineering, Science and Transport Professionals",Between 20 and 199,No,Couple with dependent children,More than 5 years,Regional,0-1 days,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,1-2 days,1-2 days,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,more productive,4,7.5,3.5,2,0.5,8,6.5,2
1811,1971,Male,Financial and Insurance,Other,More than 200,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,3-4 days,3-4 days,Somewhat unlikely,Somewhat unlikely,Neither unlikely or likely,less productive,1,7,2,7,0.5,9,2,5.5
1812,1959,Female,Financial and Insurance,Professionals - ICT Professionals,More than 200,No,Single person,Between 6 and 12 months,Metro,4-5 days,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat likely,Very likely,Very likely,much more productive,2.5,8,3.5,2,0.5,9,4.5,2
1813,1985,Female,"Professional, Scientific and Technical",Other,Between 20 and 199,Yes,Single person,Between 1 and 5 years,Metro,0-1 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,1-2 days,1-2 days,Neither unlikely or likely,Somewhat likely,Somewhat likely,more productive,2,9,3,2,0.5,9.5,2,3
1814,1978,Male,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,2-3 days,1-2 days,Neither unlikely or likely,Neither unlikely or likely,Somewhat likely,much more productive,2,8,5,2,0,9,6,2
1815,1961,Male,"Professional, Scientific and Technical",Managers - Specialist Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,2-3 days,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,2-3 days,1-2 days,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,same productivity,2,8,6,2,0,10,6,2
1816,1972,Male,Education and Training,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Multiple family household,More than 5 years,Metro,2-3 days,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,2-3 days,4-5 days,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,same productivity,2,11,2,3,1,11,4,2
1817,1980,Male,"Professional, Scientific and Technical",Managers - Specialist Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,0-1 days,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,1-2 days,1-2 days,Very unlikely,Somewhat unlikely,Somewhat unlikely,less productive,1,9,3,3,0,8,4,4
1818,1984,Male,Other,"Managers - Chief Executives, General Managers and Legislators",Between 1 and 4,Yes,Group household,Between 1 and 5 years,Metro,2-3 days,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,1-2 days,2-3 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,less productive,0.25,8,7,2.75,0.25,6,8,3.75
1819,1998,Female,Other,Other,Between 1 and 4,Yes,Single person,Between 6 and 12 months,Regional,1-2 days,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,2-3 days,4-5 days,Neither unlikely or likely,Very likely,Somewhat likely,much more productive,2,5,6,3,4,3,5,5
1820,1957,Male,Education and Training,Professionals - Education Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,0-1 days,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,0-1 days,0-1 days,Very unlikely,Very unlikely,Somewhat unlikely,more productive,2,10,3,1,1,8,4,3
1821,1983,Male,"Professional, Scientific and Technical",Managers - Specialist Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat likely,Somewhat likely,Very likely,more productive,1.5,8,4,2.5,0,8,4,4
1822,1989,Female,Retail Trade,Managers - Specialist Managers,More than 200,Yes,One parent family with dependent children,Between 1 and 5 years,Metro,1-2 days,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,0-1 days,0-1 days,Somewhat unlikely,Somewhat unlikely,Somewhat likely,much less productive,6,8,3,1,0.5,8,2,1
1823,1967,Male,Education and Training,Professionals - Education Professionals,Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,2-3 days,2-3 days,Very unlikely,Neither unlikely or likely,Somewhat unlikely,much more productive,0.5,8,5,3,0,8,6,3
1824,1985,Male,Other,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,3-4 days,3-4 days,Very likely,Somewhat likely,Somewhat likely,more productive,6,6,2,2,4,8,2,3
1825,1985,Male,Other,Other,More than 200,Yes,Single person,Between 6 and 12 months,Metro,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,1-2 days,1-2 days,Somewhat likely,Neither unlikely or likely,Somewhat likely,same productivity,4,4,6,4,0.5,6,6,6
1826,1964,Female,Health Care and Social Assistance,Other,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,1-2 days,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,2-3 days,1-2 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,much more productive,1.5,8,3.5,2,0,8,4,3
1827,1985,Female,Other,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Metro,2-3 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,2-3 days,2-3 days,Somewhat likely,Somewhat likely,Somewhat likely,more productive,1,7.5,5.5,3,0,8,6,3
1828,1988,Male,Other,Other,Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro,0-1 days,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,0-1 days,3-4 days,Somewhat likely,Very likely,Very likely,more productive,2,6,4,4,2,7,3,5
1829,1982,Male,Financial and Insurance,Other,More than 200,Yes,Group household,More than 5 years,Regional,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,1-2 days,1-2 days,Somewhat likely,Very likely,Somewhat likely,more productive,2,4,1,3,0.5,3,2,2
1830,1974,Female,Other,Managers - Specialist Managers,Between 20 and 199,Yes,One parent family with dependent children,Between 1 and 5 years,Metro,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,1-2 days,1-2 days,Somewhat likely,Somewhat likely,Neither unlikely or likely,much more productive,0.5,9,5,3.5,0.5,7,8,2.5
1831,1983,Female,Other Services,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,More than 5 years,Metro,1-2 days,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,1-2 days,0-1 days,Somewhat likely,Very likely,Very likely,more productive,3,6,5,4,3,6,5,4
1832,1983,Male,Other,Other,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,2-3 days,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,1-2 days,1-2 days,Somewhat likely,Very likely,Very likely,much more productive,2,8,2,4,1,8,2.5,2.5
1833,1986,Female,Other,Other,More than 200,Yes,Couple with no dependent children,Between 6 and 12 months,Metro,2-3 days,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,1-2 days,3-4 days,Very likely,Somewhat likely,Very likely,much more productive,4,5,4,2,5,5,4,2
1834,1985,Female,Other,Other,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,0-1 days,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,0-1 days,0-1 days,Very likely,Very likely,Very likely,more productive,1,8,5,2,4,8,2,2
1835,1967,Male,Health Care and Social Assistance,"Professionals - Design, Engineering, Science and Transport Professionals",Between 5 and 19,No,Single person,Between 1 and 5 years,Regional,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,2-3 days,Neither unlikely or likely,Somewhat likely,Somewhat unlikely,same productivity,1,2.5,8.5,4,0.2,2,4,0.2
1836,1997,Female,Other,Managers - Specialist Managers,Between 20 and 199,Yes,One parent family with dependent children,Between 1 and 5 years,Metro,1-2 days,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,1-2 days,0-1 days,Somewhat likely,Somewhat likely,Neither unlikely or likely,much more productive,0.5,6,5,5,1,6,4,5
1837,1989,Female,Other,Other,Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro,0-1 days,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,0-1 days,0-1 days,Very likely,Very likely,Somewhat likely,more productive,2,8,2,3,5,9,1,1
1838,1970,Male,Other Services,Other,I am a sole trader/owner-operator,No,Single person,More than 5 years,Metro,4-5 days,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,4-5 days,4-5 days,Very likely,Neither unlikely or likely,Neither unlikely or likely,much more productive,0,10,7,0,0,10,7,0
1839,1991,Male,Other,Managers - Specialist Managers,Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Regional,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,0-1 days,0-1 days,Somewhat likely,Neither unlikely or likely,Neither unlikely or likely,much less productive,4,4,8,4,1,8,6,3
1840,1979,Male,Other Services,"Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro,1-2 days,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,1-2 days,0-1 days,Very likely,Somewhat likely,Somewhat likely,much more productive,3,8,2,4,3,7,2,3
1841,1980,Female,Other,Professionals - Education Professionals,Between 20 and 199,Yes,Couple with dependent children,Between 6 and 12 months,Metro,1-2 days,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,4-5 days,4-5 days,Somewhat unlikely,Neither unlikely or likely,Neither unlikely or likely,much more productive,4,8,2,5,4,8,3,7
1842,1991,Female,Financial and Insurance,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro,3-4 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,3-4 days,3-4 days,Somewhat likely,Somewhat likely,Somewhat likely,more productive,1,6,6,1,0,6,7,3
1843,1991,Male,Education and Training,Professionals - Education Professionals,Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Metro,0-1 days,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,0-1 days,0-1 days,Very unlikely,Very unlikely,Very unlikely,less productive,1,9,5,1,0,9,6,1
1844,1988,Male,Other Services,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Metro,1-2 days,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,2-3 days,2-3 days,Neither unlikely or likely,Somewhat unlikely,Somewhat likely,much more productive,2,4,7,6,2,6,7,2
